"ID","FAMILY_ID","TESTSET_QC_ID","TESTSET_NAME","TESTSET_DISPLAY_NAME","TESTSET_LOCATION","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
4870,1018,"379026","Serial_Set11_DQ_Hub","AutoBAT\Serial Groups - SET C (After all tests are run)\Serial_Set11_DQ_Hub","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET C (After all tests are run)\Serial_Set11_DQ_Hub","",19-JAN-14 08.01.31.006000000 PM,"",19-JAN-14 08.01.31.006000000 PM
4871,1018,"379027","Serial_Set12_CC","AutoBAT\Serial Groups - SET C (After all tests are run)\Serial_Set12_CC","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET C (After all tests are run)\Serial_Set12_CC","",19-JAN-14 08.01.32.145000000 PM,"",19-JAN-14 08.01.32.145000000 PM
4872,1018,"379028","Serial_Set13_QM_TM","AutoBAT\Serial Groups - SET C (After all tests are run)\Serial_Set13_QM_TM","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET C (After all tests are run)\Serial_Set13_QM_TM","",19-JAN-14 08.01.32.410000000 PM,"",19-JAN-14 08.01.32.410000000 PM
4873,1018,"379029","Serial_Set14_FUSE_RuleSet","AutoBAT\Serial Groups - SET C (After all tests are run)\Serial_Set14_FUSE_RuleSet","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET C (After all tests are run)\Serial_Set14_FUSE_RuleSet","",19-JAN-14 08.01.32.847000000 PM,"",19-JAN-14 08.01.32.847000000 PM
4874,1018,"379030","Serial_Set15_SPE_Prereq(before other SPE tests)","AutoBAT\Serial Groups - SET C (After all tests are run)\Serial_Set15_SPE_Prereq(before other SPE tests)","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET C (After all tests are run)\Serial_Set15_SPE_Prereq(before other SPE tests)","",19-JAN-14 08.01.33.222000000 PM,"",19-JAN-14 08.01.33.222000000 PM
4869,1018,"379024","Serial_Set10_SPE (Run after Regular SPE PreReq)","AutoBAT\Serial Groups - SET B\Serial_Set10_SPE (Run after Regular SPE PreReq)","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET B\Serial_Set10_SPE (Run after Regular SPE PreReq)","",19-JAN-14 08.01.30.320000000 PM,"",19-JAN-14 08.01.30.320000000 PM
4875,1018,"379025","Serial_Set16_Hub","AutoBAT\Serial Groups - SET B\Serial_Set16_Hub","Root\Fusion 1.0.8\1.0.8 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL8GAPB2\AutoBAT\Serial Groups - SET B\Serial_Set16_Hub","",19-JAN-14 08.01.33.627000000 PM,"",19-JAN-14 08.01.33.627000000 PM
12104,2052,"1268548","hcm","hcm","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Central\REL92CDRMOVM\hcm","",16-DEC-14 02.12.12.813000000 AM,"",16-DEC-14 02.12.12.813000000 AM
12105,2052,"1268549","ic","ic","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Central\REL92CDRMOVM\ic","",16-DEC-14 02.12.14.872000000 AM,"",16-DEC-14 02.12.14.872000000 AM
12106,2052,"1268539","prc","prc","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Central\REL92CDRMOVM\prc","",16-DEC-14 02.12.15.496000000 AM,"",16-DEC-14 02.12.15.496000000 AM
12107,2052,"1268540","prj","prj","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Central\REL92CDRMOVM\prj","",16-DEC-14 02.12.19.692000000 AM,"",16-DEC-14 02.12.19.692000000 AM
18402,2974,"1748127","PRJ_00_Serial_EHC1","PRJ_00_Serial_EHC1","Root\Fusion 1.0.11\1.0.11 - D. Build Validation Testing (BVT) - Daily Runs\Projects\REL11ST7RUP\PRJ_00_Serial_EHC1","",10-AUG-15 07.40.42.758000000 AM,"",10-AUG-15 07.40.42.758000000 AM
18403,2974,"1748128","PRJ_01_Serial_EHC2","PRJ_01_Serial_EHC2","Root\Fusion 1.0.11\1.0.11 - D. Build Validation Testing (BVT) - Daily Runs\Projects\REL11ST7RUP\PRJ_01_Serial_EHC2","",10-AUG-15 07.40.44.801000000 AM,"",10-AUG-15 07.40.44.801000000 AM
18444,3009,"1760102","prc_1","Root\Fusion 1.0.12\1.0.12 - D. Build Validation Testing (BVT) - Daily Runs\PRC\PRC REL12 DIT1\FMW_DIF\prc_1","Root\Fusion 1.0.12\1.0.12 - D. Build Validation Testing (BVT) - Daily Runs\PRC\PRC REL12 DIT1\FMW_DIF\prc_1","",18-AUG-15 04.45.27.581000000 AM,"",18-AUG-15 04.45.27.581000000 AM
18445,3009,"1760097","prc_2","Root\Fusion 1.0.12\1.0.12 - D. Build Validation Testing (BVT) - Daily Runs\PRC\PRC REL12 DIT1\FA_DIF\prc_2","Root\Fusion 1.0.12\1.0.12 - D. Build Validation Testing (BVT) - Daily Runs\PRC\PRC REL12 DIT1\FA_DIF\prc_2","",18-AUG-15 04.45.28.003000000 AM,"",18-AUG-15 04.45.28.003000000 AM
18446,3009,"1760118","prc_2","Root\Fusion 1.0.12\1.0.12 - D. Build Validation Testing (BVT) - Daily Runs\PRC\PRC REL12 DIT1\ZERO_DIF\prc_2","Root\Fusion 1.0.12\1.0.12 - D. Build Validation Testing (BVT) - Daily Runs\PRC\PRC REL12 DIT1\ZERO_DIF\prc_2","",18-AUG-15 04.45.28.065000000 AM,"",18-AUG-15 04.45.28.065000000 AM
12108,2052,"1268541","prj_serial","prj_serial","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Central\REL92CDRMOVM\prj_serial","",16-DEC-14 02.12.23.624000000 AM,"",16-DEC-14 02.12.23.624000000 AM
12109,2052,"1268538","scm","scm","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Central\REL92CDRMOVM\scm","",16-DEC-14 02.12.24.981000000 AM,"",16-DEC-14 02.12.24.981000000 AM
12110,2055,"1264160","Benefits","Benefits","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\HCM\REL92CDRMOVM\Benefits","",16-DEC-14 02.12.53.545000000 AM,"",16-DEC-14 02.12.53.545000000 AM
12111,2055,"1269461","Compensation","Compensation","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\HCM\REL92CDRMOVM\Compensation","",16-DEC-14 02.12.57.257000000 AM,"",16-DEC-14 02.12.57.257000000 AM
12112,2055,"1269462","FBL/HR-HR","FBL/HR-HR","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\HCM\REL92CDRMOVM\FBL/HR-HR","",16-DEC-14 02.13.02.733000000 AM,"",16-DEC-14 02.13.02.733000000 AM
15063,2266,"1568044","CRM_00_1_Serial_mutuEx_Customercenter","04.Baseline_04/28/15\AUTOBAT\CRM_00_1_Serial_mutuEx_Customercenter","Root\Fusion 1.0.9\1.0.9 - L. Patch Testing\Quarterly RDBMS\CRM\04.Baseline_04/28/15\AUTOBAT\CRM_00_1_Serial_mutuEx_Customercenter","",28-APR-15 12.50.08.481000000 AM,"",28-APR-15 12.50.08.481000000 AM
15064,2266,"1568045","CRM_00_3_Serial_mutuEx_SPE","04.Baseline_04/28/15\AUTOBAT\CRM_00_3_Serial_mutuEx_SPE","Root\Fusion 1.0.9\1.0.9 - L. Patch Testing\Quarterly RDBMS\CRM\04.Baseline_04/28/15\AUTOBAT\CRM_00_3_Serial_mutuEx_SPE","",28-APR-15 12.50.09.510000000 AM,"",28-APR-15 12.50.09.510000000 AM
15065,2266,"1568046","CRM_00_4_Serial_mutuEx_Quota","04.Baseline_04/28/15\AUTOBAT\CRM_00_4_Serial_mutuEx_Quota","Root\Fusion 1.0.9\1.0.9 - L. Patch Testing\Quarterly RDBMS\CRM\04.Baseline_04/28/15\AUTOBAT\CRM_00_4_Serial_mutuEx_Quota","",28-APR-15 12.50.09.729000000 AM,"",28-APR-15 12.50.09.729000000 AM
15066,2266,"1568047","CRM_01_1_EHC","04.Baseline_04/28/15\AUTOBAT\CRM_01_1_EHC","Root\Fusion 1.0.9\1.0.9 - L. Patch Testing\Quarterly RDBMS\CRM\04.Baseline_04/28/15\AUTOBAT\CRM_01_1_EHC","",28-APR-15 12.50.10.181000000 AM,"",28-APR-15 12.50.10.181000000 AM
15067,2266,"1568048","CRM_02_1_ACC_CommCRM_WM","04.Baseline_04/28/15\AUTOBAT\CRM_02_1_ACC_CommCRM_WM","Root\Fusion 1.0.9\1.0.9 - L. Patch Testing\Quarterly RDBMS\CRM\04.Baseline_04/28/15\AUTOBAT\CRM_02_1_ACC_CommCRM_WM","",28-APR-15 12.50.13.769000000 AM,"",28-APR-15 12.50.13.769000000 AM
15192,2589,"1571653","ATF_ATK_HelpPortal","ATF_ATK_HelpPortal","Root\Fusion 1.0.10\1.0.10 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL10ST15RUP\ATF_ATK_HelpPortal","",29-APR-15 06.02.12.816000000 PM,"",29-APR-15 06.02.12.816000000 PM
15193,2589,"1571654","ATK_Setup","ATK_Setup","Root\Fusion 1.0.10\1.0.10 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL10ST15RUP\ATK_Setup","",29-APR-15 06.02.15.234000000 PM,"",29-APR-15 06.02.15.234000000 PM
15194,2589,"1571655","FusePlus_Fuse_Common","FusePlus_Fuse_Common","Root\Fusion 1.0.10\1.0.10 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL10ST15RUP\FusePlus_Fuse_Common","",29-APR-15 06.02.15.468000000 PM,"",29-APR-15 06.02.15.468000000 PM
15195,2589,"1571656","FusePlus_FuseAnalytics_CRM","FusePlus_FuseAnalytics_CRM","Root\Fusion 1.0.10\1.0.10 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL10ST15RUP\FusePlus_FuseAnalytics_CRM","",29-APR-15 06.02.16.030000000 PM,"",29-APR-15 06.02.16.030000000 PM
15196,2589,"1571657","FusePlus_GettingStarted_Common","FusePlus_GettingStarted_Common","Root\Fusion 1.0.10\1.0.10 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL10ST15RUP\FusePlus_GettingStarted_Common","",29-APR-15 06.02.16.763000000 PM,"",29-APR-15 06.02.16.763000000 PM
15197,2589,"1571658","FusePlus_Homepage","FusePlus_Homepage","Root\Fusion 1.0.10\1.0.10 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL10ST15RUP\FusePlus_Homepage","",29-APR-15 06.02.17.012000000 PM,"",29-APR-15 06.02.17.012000000 PM
15198,2589,"1571659","FusePlus_PopupNotification_Common","FusePlus_PopupNotification_Common","Root\Fusion 1.0.10\1.0.10 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL10ST15RUP\FusePlus_PopupNotification_Common","",29-APR-15 06.02.18.260000000 PM,"",29-APR-15 06.02.18.260000000 PM
15199,2589,"1571660","FusePlus_UnifiedHomepageNavigator_Common","FusePlus_UnifiedHomepageNavigator_Common","Root\Fusion 1.0.10\1.0.10 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL10ST15RUP\FusePlus_UnifiedHomepageNavigator_Common","",29-APR-15 06.02.18.557000000 PM,"",29-APR-15 06.02.18.557000000 PM
15200,2589,"1571861","FusePlus_UnifiedHomepageNavigator_CRM","FusePlus_UnifiedHomepageNavigator_CRM","Root\Fusion 1.0.10\1.0.10 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL10ST15RUP\FusePlus_UnifiedHomepageNavigator_CRM","",29-APR-15 06.02.19.664000000 PM,"",29-APR-15 06.02.19.664000000 PM
12196,1916,"1270829","IC_1_serial","IC_1_serial","Root\Fusion 1.0.9\1.0.9 - L. Patch Testing\Bundle Patches\IC\REL92\IC_1_serial","",16-DEC-14 08.48.16.419000000 PM,"",16-DEC-14 08.48.16.419000000 PM
12197,1916,"1270830","IC_2_serial","IC_2_serial","Root\Fusion 1.0.9\1.0.9 - L. Patch Testing\Bundle Patches\IC\REL92\IC_2_serial","",16-DEC-14 08.48.20.585000000 PM,"",16-DEC-14 08.48.20.585000000 PM
12199,2058,"1268494","Grants Management BVT Flow1","Grants Management BVT Flow1","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Projects\REL92CDRMOVM\Grants Management BVT Flow1","",17-DEC-14 05.03.48.398000000 AM,"",17-DEC-14 05.03.48.398000000 AM
