"ID","FAMILY_ID","DR_DATE","DR_COMMENTS","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
44350,1913,"16-05-2015","","",15-MAY-15 05.51.01.217000000 PM,"",15-MAY-15 05.51.01.217000000 PM
44351,1914,"16-05-2015","","",15-MAY-15 05.51.51.029000000 PM,"",15-MAY-15 05.51.51.029000000 PM
44352,1916,"16-05-2015","","",15-MAY-15 05.51.54.523000000 PM,"",15-MAY-15 05.51.54.523000000 PM
44353,1917,"16-05-2015","","",15-MAY-15 05.52.01.575000000 PM,"",15-MAY-15 05.52.01.575000000 PM
44354,1918,"16-05-2015","","",15-MAY-15 05.52.24.756000000 PM,"",15-MAY-15 05.52.24.756000000 PM
44355,1920,"16-05-2015","","",15-MAY-15 05.52.57.252000000 PM,"",15-MAY-15 05.52.57.252000000 PM
50188,2738,"23-07-2015","","",22-JUL-15 05.14.00.885000000 PM,"",22-JUL-15 05.14.00.885000000 PM
44357,2589,"16-05-2015","","",15-MAY-15 05.53.29.357000000 PM,"",15-MAY-15 05.53.29.357000000 PM
44358,2590,"16-05-2015","","",15-MAY-15 05.53.41.650000000 PM,"",15-MAY-15 05.53.41.650000000 PM
44359,2591,"16-05-2015","","",15-MAY-15 05.54.59.292000000 PM,"",15-MAY-15 05.54.59.292000000 PM
44360,2592,"16-05-2015","","",15-MAY-15 05.55.02.865000000 PM,"",15-MAY-15 05.55.02.865000000 PM
44361,2593,"16-05-2015","","",15-MAY-15 05.55.19.401000000 PM,"",15-MAY-15 05.55.19.401000000 PM
44362,2594,"16-05-2015","","",15-MAY-15 05.55.46.155000000 PM,"",15-MAY-15 05.55.46.155000000 PM
44363,2595,"16-05-2015","","",15-MAY-15 05.55.49.384000000 PM,"",15-MAY-15 05.55.49.384000000 PM
44364,2596,"16-05-2015","","",15-MAY-15 05.56.23.330000000 PM,"",15-MAY-15 05.56.23.330000000 PM
44365,2597,"16-05-2015","","",15-MAY-15 05.56.30.101000000 PM,"",15-MAY-15 05.56.30.101000000 PM
44366,2598,"16-05-2015","","",15-MAY-15 05.56.49.195000000 PM,"",15-MAY-15 05.56.49.195000000 PM
44367,2599,"16-05-2015","","",15-MAY-15 05.57.06.527000000 PM,"",15-MAY-15 05.57.06.527000000 PM
44368,2600,"16-05-2015","","",15-MAY-15 05.57.38.726000000 PM,"",15-MAY-15 05.57.38.726000000 PM
44369,1011,"16-05-2015","","",15-MAY-15 05.57.49.022000000 PM,"",15-MAY-15 05.57.49.022000000 PM
44370,1018,"16-05-2015","","",15-MAY-15 05.58.30.332000000 PM,"",15-MAY-15 05.58.30.332000000 PM
44371,1020,"16-05-2015","","",15-MAY-15 05.59.31.469000000 PM,"",15-MAY-15 05.59.31.469000000 PM
44372,1022,"16-05-2015","","",15-MAY-15 05.59.44.885000000 PM,"",15-MAY-15 05.59.44.885000000 PM
44373,1023,"16-05-2015","","",15-MAY-15 05.59.51.281000000 PM,"",15-MAY-15 05.59.51.281000000 PM
44374,1025,"16-05-2015","","",15-MAY-15 06.00.29.611000000 PM,"",15-MAY-15 06.00.29.611000000 PM
44375,1027,"16-05-2015","","",15-MAY-15 06.01.05.070000000 PM,"",15-MAY-15 06.01.05.070000000 PM
44376,1028,"16-05-2015","","",15-MAY-15 06.01.37.347000000 PM,"",15-MAY-15 06.01.37.347000000 PM
44377,2127,"16-05-2015","","",15-MAY-15 06.01.47.113000000 PM,"",15-MAY-15 06.01.47.113000000 PM
44378,2138,"16-05-2015","","",15-MAY-15 06.02.37.517000000 PM,"",15-MAY-15 06.02.37.517000000 PM
44379,2298,"17-05-2015","","",16-MAY-15 04.51.33.801000000 PM,"",16-MAY-15 04.51.33.801000000 PM
44380,2300,"17-05-2015","","",16-MAY-15 04.52.20.570000000 PM,"",16-MAY-15 04.52.20.570000000 PM
44381,2304,"17-05-2015","","",16-MAY-15 04.52.50.803000000 PM,"",16-MAY-15 04.52.50.803000000 PM
71301,2296,"28-02-2016","","",27-FEB-16 04.42.10.163000000 PM,"",27-FEB-16 04.42.10.163000000 PM
71302,2298,"28-02-2016","","",27-FEB-16 04.42.37.572000000 PM,"",27-FEB-16 04.42.37.572000000 PM
71303,2300,"28-02-2016","","",27-FEB-16 04.42.59.568000000 PM,"",27-FEB-16 04.42.59.568000000 PM
71304,2303,"28-02-2016","","",27-FEB-16 04.43.18.896000000 PM,"",27-FEB-16 04.43.18.896000000 PM
71305,2304,"28-02-2016","","",27-FEB-16 04.43.28.412000000 PM,"",27-FEB-16 04.43.28.412000000 PM
71306,2709,"28-02-2016","","",27-FEB-16 04.43.42.733000000 PM,"",27-FEB-16 04.43.42.733000000 PM
71307,2710,"28-02-2016","","",27-FEB-16 04.43.49.784000000 PM,"",27-FEB-16 04.43.49.784000000 PM
71308,2711,"28-02-2016","","",27-FEB-16 04.44.10.595000000 PM,"",27-FEB-16 04.44.10.595000000 PM
71309,2712,"28-02-2016","","",27-FEB-16 04.45.05.507000000 PM,"",27-FEB-16 04.45.05.507000000 PM
71310,2713,"28-02-2016","","",27-FEB-16 04.45.13.853000000 PM,"",27-FEB-16 04.45.13.853000000 PM
71311,2714,"28-02-2016","","",27-FEB-16 04.45.40.217000000 PM,"",27-FEB-16 04.45.40.217000000 PM
71312,2715,"28-02-2016","","",27-FEB-16 04.45.44.273000000 PM,"",27-FEB-16 04.45.44.273000000 PM
71313,2716,"28-02-2016","","",27-FEB-16 04.46.04.787000000 PM,"",27-FEB-16 04.46.04.787000000 PM
71314,2717,"28-02-2016","","",27-FEB-16 04.46.11.463000000 PM,"",27-FEB-16 04.46.11.463000000 PM
71315,2718,"28-02-2016","","",27-FEB-16 04.46.29.466000000 PM,"",27-FEB-16 04.46.29.466000000 PM
71316,2719,"28-02-2016","","",27-FEB-16 04.46.46.049000000 PM,"",27-FEB-16 04.46.46.049000000 PM
44398,1670,"17-05-2015","","",16-MAY-15 05.03.52.829000000 PM,"",16-MAY-15 05.03.52.829000000 PM
71317,2720,"28-02-2016","","",27-FEB-16 04.47.14.909000000 PM,"",27-FEB-16 04.47.14.909000000 PM
71318,1025,"28-02-2016","","",27-FEB-16 04.47.27.498000000 PM,"",27-FEB-16 04.47.27.498000000 PM
71319,1027,"28-02-2016","","",27-FEB-16 04.47.43.363000000 PM,"",27-FEB-16 04.47.43.363000000 PM
44402,1521,"17-05-2015","","",16-MAY-15 05.06.37.458000000 PM,"",16-MAY-15 05.06.37.458000000 PM
44403,1522,"17-05-2015","","",16-MAY-15 05.08.59.326000000 PM,"",16-MAY-15 05.08.59.326000000 PM
44404,1523,"17-05-2015","","",16-MAY-15 05.16.19.798000000 PM,"",16-MAY-15 05.16.19.798000000 PM
44405,1524,"17-05-2015","","",16-MAY-15 05.16.24.634000000 PM,"",16-MAY-15 05.16.24.634000000 PM
44406,1525,"17-05-2015","","",16-MAY-15 05.16.48.908000000 PM,"",16-MAY-15 05.16.48.908000000 PM
44407,1526,"17-05-2015","","",16-MAY-15 05.17.38.251000000 PM,"",16-MAY-15 05.17.38.251000000 PM
44408,1527,"17-05-2015","","",16-MAY-15 05.17.42.401000000 PM,"",16-MAY-15 05.17.42.401000000 PM
44409,1529,"17-05-2015","","",16-MAY-15 05.18.10.575000000 PM,"",16-MAY-15 05.18.10.575000000 PM
44410,1530,"17-05-2015","","",16-MAY-15 05.18.53.241000000 PM,"",16-MAY-15 05.18.53.241000000 PM
44411,1531,"17-05-2015","","",16-MAY-15 05.19.14.021000000 PM,"",16-MAY-15 05.19.14.021000000 PM
44412,1532,"17-05-2015","","",16-MAY-15 05.19.50.697000000 PM,"",16-MAY-15 05.19.50.697000000 PM
44413,1528,"17-05-2015","","",16-MAY-15 05.19.57.545000000 PM,"",16-MAY-15 05.19.57.545000000 PM
44414,607,"17-05-2015","","",16-MAY-15 05.20.05.143000000 PM,"",16-MAY-15 05.20.05.143000000 PM
